disability_category,accommodation_type,functional_limitation,cost_tier,employer_size,industry,employee_tenure_years,days_to_implement,prior_requests,outcome_positive
Neurological,Physical Modification,Concentration/Focus,$0 (No Cost),Small (<50),Government/Public Sector,3.9,4,1,1
Chronic Illness,Physical Modification,Stamina/Endurance,$0 (No Cost),Small (<50),Manufacturing,4.1,26,0,1
Neurological,Leave of Absence,Mobility,$0 (No Cost),Large (500+),Manufacturing,3.8,8,0,1
Musculoskeletal,Assistive Technology,Dexterity,$1–$500,Large (500+),Manufacturing,4.2,11,0,1
Musculoskeletal,Assistive Technology,Vision,"$501–$2,000",Mid-size (50–499),Education,1.4,54,1,1
Musculoskeletal,Assistive Technology,Communication,$0 (No Cost),Mid-size (50–499),Government/Public Sector,2.2,16,0,1
Sensory (Vision/Hearing),Physical Modification,Hearing,$0 (No Cost),Large (500+),Government/Public Sector,9.2,16,0,1
Chronic Illness,Flexible Scheduling,Stamina/Endurance,$1–$500,Small (<50),Education,1.6,8,1,1
Musculoskeletal,Policy Change / Exemption,Mobility,$0 (No Cost),Mid-size (50–499),Technology,13.3,19,1,0
Psychiatric,Leave of Absence,Communication,$0 (No Cost),Mid-size (50–499),Government/Public Sector,2.0,28,2,0
Psychiatric,Remote Work / Telework,Concentration/Focus,"$2,001+",Large (500+),Retail/Hospitality,3.7,16,0,1
Sensory (Vision/Hearing),Assistive Technology,Dexterity,$1–$500,Large (500+),Technology,6.2,94,1,1
Chronic Illness,Flexible Scheduling,Concentration/Focus,$0 (No Cost),Mid-size (50–499),Healthcare,13.0,10,2,1
Psychiatric,Ergonomic Equipment,Mobility,"$2,001+",Small (<50),Healthcare,0.5,10,0,1
Psychiatric,Policy Change / Exemption,Stamina/Endurance,$0 (No Cost),Mid-size (50–499),Education,8.7,18,3,1
Neurological,Policy Change / Exemption,Concentration/Focus,"$2,001+",Small (<50),Manufacturing,4.8,87,1,0
Psychiatric,Remote Work / Telework,Concentration/Focus,$1–$500,Large (500+),Education,2.8,41,0,1
Chronic Illness,Flexible Scheduling,Dexterity,$1–$500,Small (<50),Technology,3.0,15,2,1
Musculoskeletal,Flexible Scheduling,Concentration/Focus,"$2,001+",Small (<50),Education,0.6,15,1,1
Psychiatric,Flexible Scheduling,Communication,$1–$500,Large (500+),Education,1.1,9,0,1
Cognitive,Flexible Scheduling,Mobility,$0 (No Cost),Mid-size (50–499),Manufacturing,1.0,18,0,0
Psychiatric,Flexible Scheduling,Mobility,$0 (No Cost),Large (500+),Healthcare,1.6,21,1,0
Musculoskeletal,Ergonomic Equipment,Concentration/Focus,$1–$500,Small (<50),Finance/Insurance,5.1,40,1,1
Psychiatric,Flexible Scheduling,Dexterity,$1–$500,Large (500+),Retail/Hospitality,5.4,34,1,1
Psychiatric,Flexible Scheduling,Hearing,$0 (No Cost),Small (<50),Technology,6.8,17,0,0
Psychiatric,Leave of Absence,Concentration/Focus,$1–$500,Small (<50),Finance/Insurance,8.5,66,1,1
Psychiatric,Assistive Technology,Hearing,$1–$500,Mid-size (50–499),Healthcare,2.6,13,1,1
Psychiatric,Leave of Absence,Stamina/Endurance,$0 (No Cost),Small (<50),Healthcare,15.2,6,2,0
Psychiatric,Physical Modification,Stamina/Endurance,$0 (No Cost),Mid-size (50–499),Healthcare,0.5,29,3,1
Neurological,Policy Change / Exemption,Dexterity,$0 (No Cost),Small (<50),Technology,5.7,51,1,1
Sensory (Vision/Hearing),Physical Modification,Dexterity,$0 (No Cost),Small (<50),Finance/Insurance,4.5,24,2,1
Musculoskeletal,Assistive Technology,Dexterity,$0 (No Cost),Large (500+),Retail/Hospitality,0.5,7,1,1
Musculoskeletal,Physical Modification,Communication,$0 (No Cost),Small (<50),Education,10.0,27,0,1
Neurological,Assistive Technology,Communication,$0 (No Cost),Mid-size (50–499),Government/Public Sector,8.3,30,2,0
Chronic Illness,Remote Work / Telework,Mobility,$0 (No Cost),Large (500+),Education,12.4,32,1,1
Chronic Illness,Assistive Technology,Concentration/Focus,$1–$500,Small (<50),Finance/Insurance,0.8,28,3,1
Psychiatric,Flexible Scheduling,Stamina/Endurance,$0 (No Cost),Large (500+),Finance/Insurance,1.0,56,0,1
Psychiatric,Leave of Absence,Concentration/Focus,"$2,001+",Small (<50),Education,2.8,9,1,0
Psychiatric,Remote Work / Telework,Mobility,"$501–$2,000",Mid-size (50–499),Retail/Hospitality,0.6,1,0,1
Psychiatric,Flexible Scheduling,Concentration/Focus,$1–$500,Small (<50),Education,2.7,3,3,1
Neurological,Remote Work / Telework,Concentration/Focus,"$2,001+",Large (500+),Retail/Hospitality,5.5,7,2,1
Musculoskeletal,Policy Change / Exemption,Stamina/Endurance,"$501–$2,000",Mid-size (50–499),Technology,1.6,45,2,1
Psychiatric,Remote Work / Telework,Stamina/Endurance,$0 (No Cost),Mid-size (50–499),Finance/Insurance,5.5,19,0,0
Musculoskeletal,Physical Modification,Communication,$1–$500,Large (500+),Government/Public Sector,1.4,70,1,0
Neurological,Policy Change / Exemption,Concentration/Focus,$0 (No Cost),Mid-size (50–499),Manufacturing,1.6,8,1,1
Psychiatric,Flexible Scheduling,Communication,$1–$500,Large (500+),Education,14.1,69,1,1
Chronic Illness,Leave of Absence,Mobility,$1–$500,Large (500+),Finance/Insurance,0.5,11,1,1
Psychiatric,Remote Work / Telework,Dexterity,$0 (No Cost),Large (500+),Retail/Hospitality,6.4,21,0,0
Cognitive,Flexible Scheduling,Stamina/Endurance,$0 (No Cost),Large (500+),Healthcare,3.4,4,1,1
Psychiatric,Physical Modification,Communication,"$2,001+",Large (500+),Retail/Hospitality,3.0,63,1,1
Chronic Illness,Policy Change / Exemption,Communication,$0 (No Cost),Small (<50),Manufacturing,1.3,23,0,0
Cognitive,Remote Work / Telework,Hearing,$0 (No Cost),Large (500+),Finance/Insurance,4.5,97,1,1
Cognitive,Assistive Technology,Dexterity,$0 (No Cost),Large (500+),Education,1.9,53,1,1
Chronic Illness,Remote Work / Telework,Communication,$0 (No Cost),Mid-size (50–499),Government/Public Sector,1.6,20,1,1
Chronic Illness,Assistive Technology,Communication,"$501–$2,000",Small (<50),Retail/Hospitality,1.7,13,0,1
Sensory (Vision/Hearing),Physical Modification,Concentration/Focus,$1–$500,Large (500+),Education,1.4,46,0,1
Chronic Illness,Physical Modification,Hearing,$0 (No Cost),Small (<50),Healthcare,0.5,25,2,1
Psychiatric,Physical Modification,Mobility,$0 (No Cost),Mid-size (50–499),Government/Public Sector,18.4,12,4,1
Neurological,Flexible Scheduling,Mobility,$0 (No Cost),Mid-size (50–499),Education,1.7,26,0,0
Neurological,Physical Modification,Hearing,$0 (No Cost),Small (<50),Retail/Hospitality,3.4,3,0,1
Chronic Illness,Physical Modification,Dexterity,"$501–$2,000",Large (500+),Education,4.2,33,2,1
Musculoskeletal,Physical Modification,Concentration/Focus,$1–$500,Small (<50),Finance/Insurance,0.5,38,4,1
Musculoskeletal,Flexible Scheduling,Concentration/Focus,$0 (No Cost),Large (500+),Government/Public Sector,14.7,8,2,1
Sensory (Vision/Hearing),Assistive Technology,Concentration/Focus,$1–$500,Large (500+),Education,2.2,57,0,1
Musculoskeletal,Remote Work / Telework,Stamina/Endurance,$0 (No Cost),Mid-size (50–499),Technology,0.9,49,1,1
Psychiatric,Flexible Scheduling,Concentration/Focus,$1–$500,Large (500+),Healthcare,0.9,31,0,1
Neurological,Remote Work / Telework,Hearing,$1–$500,Small (<50),Healthcare,2.2,10,0,0
Musculoskeletal,Assistive Technology,Hearing,$1–$500,Large (500+),Manufacturing,2.9,39,0,1
Psychiatric,Leave of Absence,Stamina/Endurance,$1–$500,Large (500+),Finance/Insurance,1.9,18,0,1
Musculoskeletal,Remote Work / Telework,Stamina/Endurance,"$2,001+",Small (<50),Education,0.5,28,2,1
Musculoskeletal,Leave of Absence,Mobility,$0 (No Cost),Large (500+),Manufacturing,0.5,42,0,0
Musculoskeletal,Assistive Technology,Concentration/Focus,$0 (No Cost),Mid-size (50–499),Education,6.5,6,0,0
Musculoskeletal,Leave of Absence,Dexterity,$0 (No Cost),Mid-size (50–499),Manufacturing,7.5,4,0,1
Sensory (Vision/Hearing),Assistive Technology,Concentration/Focus,$1–$500,Large (500+),Finance/Insurance,0.6,16,2,1
Musculoskeletal,Assistive Technology,Concentration/Focus,$1–$500,Mid-size (50–499),Technology,4.5,86,1,1
Cognitive,Physical Modification,Mobility,$1–$500,Mid-size (50–499),Retail/Hospitality,6.0,100,0,1
Cognitive,Policy Change / Exemption,Concentration/Focus,$1–$500,Small (<50),Manufacturing,9.1,32,1,1
Neurological,Assistive Technology,Communication,$0 (No Cost),Mid-size (50–499),Manufacturing,9.9,50,1,1
Musculoskeletal,Assistive Technology,Dexterity,$1–$500,Large (500+),Education,2.9,24,1,1
Neurological,Physical Modification,Dexterity,$1–$500,Small (<50),Education,2.6,26,0,1
Chronic Illness,Leave of Absence,Stamina/Endurance,$0 (No Cost),Mid-size (50–499),Technology,6.2,21,0,1
Sensory (Vision/Hearing),Flexible Scheduling,Vision,$0 (No Cost),Small (<50),Education,3.9,54,2,1
Chronic Illness,Assistive Technology,Communication,$0 (No Cost),Large (500+),Government/Public Sector,1.0,70,0,1
Neurological,Assistive Technology,Vision,$0 (No Cost),Mid-size (50–499),Healthcare,0.5,26,0,1
Sensory (Vision/Hearing),Policy Change / Exemption,Communication,$1–$500,Mid-size (50–499),Government/Public Sector,10.5,26,0,1
Musculoskeletal,Assistive Technology,Mobility,"$501–$2,000",Small (<50),Healthcare,1.7,22,1,1
Sensory (Vision/Hearing),Assistive Technology,Hearing,$1–$500,Mid-size (50–499),Technology,1.5,72,0,1
Psychiatric,Ergonomic Equipment,Mobility,$0 (No Cost),Large (500+),Finance/Insurance,10.9,45,1,1
Sensory (Vision/Hearing),Assistive Technology,Concentration/Focus,$1–$500,Mid-size (50–499),Healthcare,2.9,10,0,1
Chronic Illness,Flexible Scheduling,Mobility,$1–$500,Mid-size (50–499),Finance/Insurance,0.7,85,0,1
Psychiatric,Flexible Scheduling,Mobility,$0 (No Cost),Large (500+),Manufacturing,7.6,2,1,1
Neurological,Flexible Scheduling,Mobility,"$501–$2,000",Mid-size (50–499),Education,0.5,67,0,1
Psychiatric,Flexible Scheduling,Communication,$0 (No Cost),Mid-size (50–499),Education,16.9,51,1,1
Sensory (Vision/Hearing),Assistive Technology,Vision,$0 (No Cost),Mid-size (50–499),Finance/Insurance,3.5,26,2,1
Psychiatric,Leave of Absence,Mobility,$0 (No Cost),Small (<50),Finance/Insurance,6.5,26,1,1
Cognitive,Leave of Absence,Communication,$0 (No Cost),Large (500+),Education,5.2,22,2,1
Psychiatric,Flexible Scheduling,Mobility,"$501–$2,000",Large (500+),Government/Public Sector,3.2,11,0,1
Cognitive,Assistive Technology,Vision,$0 (No Cost),Large (500+),Education,2.8,80,0,1
Chronic Illness,Flexible Scheduling,Concentration/Focus,$0 (No Cost),Large (500+),Healthcare,3.8,25,1,0
Neurological,Ergonomic Equipment,Concentration/Focus,$0 (No Cost),Mid-size (50–499),Manufacturing,1.4,10,2,1
Chronic Illness,Flexible Scheduling,Communication,$0 (No Cost),Small (<50),Healthcare,4.9,77,2,0
Chronic Illness,Physical Modification,Stamina/Endurance,$0 (No Cost),Mid-size (50–499),Education,0.9,35,2,0
Cognitive,Remote Work / Telework,Dexterity,$0 (No Cost),Large (500+),Retail/Hospitality,1.0,37,2,1
Musculoskeletal,Physical Modification,Stamina/Endurance,$1–$500,Large (500+),Education,4.8,89,1,1
Neurological,Remote Work / Telework,Dexterity,$0 (No Cost),Mid-size (50–499),Education,9.1,40,1,1
Psychiatric,Leave of Absence,Communication,$1–$500,Large (500+),Finance/Insurance,8.0,15,2,1
Neurological,Remote Work / Telework,Concentration/Focus,$0 (No Cost),Large (500+),Manufacturing,0.7,40,0,1
Psychiatric,Policy Change / Exemption,Concentration/Focus,$1–$500,Large (500+),Government/Public Sector,1.8,12,1,0
Neurological,Assistive Technology,Concentration/Focus,"$501–$2,000",Large (500+),Manufacturing,15.0,17,0,1
Neurological,Leave of Absence,Mobility,$0 (No Cost),Mid-size (50–499),Retail/Hospitality,6.3,32,0,0
Musculoskeletal,Policy Change / Exemption,Communication,$0 (No Cost),Small (<50),Education,9.3,49,1,1
Neurological,Ergonomic Equipment,Mobility,"$2,001+",Mid-size (50–499),Government/Public Sector,3.6,15,2,0
Chronic Illness,Remote Work / Telework,Stamina/Endurance,$0 (No Cost),Mid-size (50–499),Healthcare,11.3,22,1,1
Chronic Illness,Remote Work / Telework,Communication,$1–$500,Large (500+),Education,0.8,22,0,1
Neurological,Remote Work / Telework,Stamina/Endurance,$0 (No Cost),Mid-size (50–499),Government/Public Sector,2.1,55,0,0
Neurological,Remote Work / Telework,Stamina/Endurance,$0 (No Cost),Mid-size (50–499),Finance/Insurance,8.4,26,2,1
Cognitive,Assistive Technology,Mobility,$1–$500,Mid-size (50–499),Manufacturing,1.8,84,1,1
Psychiatric,Ergonomic Equipment,Mobility,"$501–$2,000",Mid-size (50–499),Healthcare,3.0,17,1,1
Psychiatric,Ergonomic Equipment,Stamina/Endurance,$0 (No Cost),Mid-size (50–499),Healthcare,1.9,16,0,1
Psychiatric,Assistive Technology,Stamina/Endurance,$1–$500,Small (<50),Retail/Hospitality,1.4,66,1,0
Sensory (Vision/Hearing),Physical Modification,Mobility,$1–$500,Large (500+),Finance/Insurance,8.5,38,0,1
Musculoskeletal,Policy Change / Exemption,Mobility,$0 (No Cost),Mid-size (50–499),Retail/Hospitality,2.6,64,0,1
Chronic Illness,Policy Change / Exemption,Dexterity,$0 (No Cost),Mid-size (50–499),Healthcare,4.0,8,0,1
Sensory (Vision/Hearing),Flexible Scheduling,Stamina/Endurance,$0 (No Cost),Small (<50),Healthcare,5.1,25,1,1
Musculoskeletal,Assistive Technology,Concentration/Focus,$0 (No Cost),Mid-size (50–499),Manufacturing,1.6,32,1,1
Cognitive,Leave of Absence,Communication,$1–$500,Large (500+),Finance/Insurance,1.6,30,1,0
Chronic Illness,Remote Work / Telework,Vision,$0 (No Cost),Large (500+),Healthcare,8.0,22,1,1
Musculoskeletal,Assistive Technology,Concentration/Focus,$0 (No Cost),Small (<50),Healthcare,5.0,29,1,1
Musculoskeletal,Ergonomic Equipment,Vision,$1–$500,Large (500+),Education,3.8,31,1,1
Musculoskeletal,Ergonomic Equipment,Concentration/Focus,$1–$500,Large (500+),Healthcare,0.5,16,1,1
Psychiatric,Policy Change / Exemption,Communication,$1–$500,Small (<50),Manufacturing,4.3,54,0,1
Psychiatric,Leave of Absence,Communication,$1–$500,Small (<50),Healthcare,1.5,78,0,0
Cognitive,Remote Work / Telework,Concentration/Focus,$0 (No Cost),Small (<50),Manufacturing,9.4,43,1,0
Musculoskeletal,Remote Work / Telework,Vision,$1–$500,Large (500+),Finance/Insurance,1.0,34,0,1
Musculoskeletal,Assistive Technology,Communication,$0 (No Cost),Small (<50),Technology,8.2,24,1,1
Sensory (Vision/Hearing),Assistive Technology,Hearing,$0 (No Cost),Mid-size (50–499),Technology,6.9,31,0,1
Neurological,Assistive Technology,Mobility,$0 (No Cost),Large (500+),Education,8.4,34,0,0
Cognitive,Physical Modification,Vision,$1–$500,Large (500+),Healthcare,12.3,11,0,0
Chronic Illness,Remote Work / Telework,Hearing,$1–$500,Mid-size (50–499),Education,3.3,52,0,1
Neurological,Leave of Absence,Stamina/Endurance,$0 (No Cost),Large (500+),Finance/Insurance,7.9,18,1,1
Musculoskeletal,Remote Work / Telework,Mobility,"$501–$2,000",Small (<50),Healthcare,9.6,68,0,1
Cognitive,Remote Work / Telework,Stamina/Endurance,"$501–$2,000",Large (500+),Education,7.5,29,1,1
Sensory (Vision/Hearing),Flexible Scheduling,Stamina/Endurance,$0 (No Cost),Small (<50),Education,1.7,53,0,0
Cognitive,Flexible Scheduling,Hearing,$1–$500,Small (<50),Education,2.2,42,0,0
Psychiatric,Policy Change / Exemption,Communication,$0 (No Cost),Large (500+),Finance/Insurance,11.9,8,0,0
Chronic Illness,Assistive Technology,Mobility,"$2,001+",Small (<50),Finance/Insurance,4.4,64,0,1
Sensory (Vision/Hearing),Remote Work / Telework,Concentration/Focus,$0 (No Cost),Small (<50),Manufacturing,9.4,13,0,1
Psychiatric,Leave of Absence,Dexterity,$0 (No Cost),Mid-size (50–499),Technology,1.0,17,3,0
Neurological,Assistive Technology,Hearing,$0 (No Cost),Mid-size (50–499),Healthcare,3.0,18,1,1
Sensory (Vision/Hearing),Flexible Scheduling,Concentration/Focus,$0 (No Cost),Small (<50),Healthcare,4.4,5,0,1
Psychiatric,Remote Work / Telework,Dexterity,$1–$500,Mid-size (50–499),Retail/Hospitality,7.8,30,2,1
Musculoskeletal,Flexible Scheduling,Hearing,$0 (No Cost),Large (500+),Finance/Insurance,3.1,55,1,1
Chronic Illness,Physical Modification,Concentration/Focus,$0 (No Cost),Large (500+),Manufacturing,3.8,67,1,1
Musculoskeletal,Remote Work / Telework,Concentration/Focus,$1–$500,Small (<50),Healthcare,4.1,22,0,1
Musculoskeletal,Flexible Scheduling,Dexterity,"$501–$2,000",Mid-size (50–499),Technology,2.8,25,2,1
Musculoskeletal,Flexible Scheduling,Stamina/Endurance,"$501–$2,000",Large (500+),Education,4.0,45,5,1
Musculoskeletal,Assistive Technology,Concentration/Focus,$1–$500,Small (<50),Education,1.9,23,0,1
Cognitive,Flexible Scheduling,Vision,$0 (No Cost),Small (<50),Manufacturing,4.6,58,1,1
Chronic Illness,Policy Change / Exemption,Communication,$0 (No Cost),Small (<50),Technology,5.5,24,0,1
Psychiatric,Flexible Scheduling,Vision,"$501–$2,000",Mid-size (50–499),Finance/Insurance,5.4,12,0,1
Cognitive,Physical Modification,Vision,$1–$500,Small (<50),Technology,0.5,30,0,0
Chronic Illness,Assistive Technology,Dexterity,$1–$500,Large (500+),Healthcare,0.5,6,2,1
Musculoskeletal,Assistive Technology,Communication,"$501–$2,000",Large (500+),Manufacturing,6.2,30,1,1
Chronic Illness,Flexible Scheduling,Mobility,$0 (No Cost),Small (<50),Government/Public Sector,2.9,34,1,1
Psychiatric,Leave of Absence,Communication,$1–$500,Mid-size (50–499),Retail/Hospitality,1.6,13,0,1
Cognitive,Policy Change / Exemption,Concentration/Focus,$0 (No Cost),Small (<50),Education,17.0,33,1,1
Sensory (Vision/Hearing),Flexible Scheduling,Stamina/Endurance,$0 (No Cost),Small (<50),Technology,0.8,21,0,1
Sensory (Vision/Hearing),Flexible Scheduling,Concentration/Focus,$0 (No Cost),Large (500+),Healthcare,2.8,13,0,1
Psychiatric,Policy Change / Exemption,Communication,$0 (No Cost),Mid-size (50–499),Retail/Hospitality,1.3,5,0,1
Cognitive,Assistive Technology,Concentration/Focus,"$2,001+",Large (500+),Government/Public Sector,7.3,7,1,1
Psychiatric,Flexible Scheduling,Mobility,$0 (No Cost),Mid-size (50–499),Technology,9.7,73,0,1
Psychiatric,Flexible Scheduling,Mobility,"$501–$2,000",Small (<50),Technology,1.9,20,2,1
Psychiatric,Physical Modification,Stamina/Endurance,$1–$500,Mid-size (50–499),Government/Public Sector,2.3,34,1,1
Chronic Illness,Leave of Absence,Dexterity,$1–$500,Small (<50),Healthcare,1.0,22,0,1
Psychiatric,Physical Modification,Concentration/Focus,"$2,001+",Large (500+),Technology,3.4,74,1,1
Cognitive,Ergonomic Equipment,Vision,$0 (No Cost),Large (500+),Retail/Hospitality,3.5,13,0,1
Sensory (Vision/Hearing),Assistive Technology,Vision,$0 (No Cost),Mid-size (50–499),Finance/Insurance,1.9,27,4,1
Psychiatric,Remote Work / Telework,Mobility,$0 (No Cost),Mid-size (50–499),Retail/Hospitality,7.4,17,1,0
Psychiatric,Assistive Technology,Stamina/Endurance,$0 (No Cost),Mid-size (50–499),Government/Public Sector,4.3,52,1,1
Psychiatric,Remote Work / Telework,Communication,"$501–$2,000",Large (500+),Manufacturing,4.5,34,0,1
Neurological,Remote Work / Telework,Concentration/Focus,$0 (No Cost),Small (<50),Government/Public Sector,1.5,26,0,1
Chronic Illness,Flexible Scheduling,Communication,$0 (No Cost),Small (<50),Healthcare,9.8,8,1,1
Psychiatric,Remote Work / Telework,Concentration/Focus,$0 (No Cost),Small (<50),Healthcare,16.0,97,2,0
Chronic Illness,Physical Modification,Vision,$0 (No Cost),Mid-size (50–499),Retail/Hospitality,3.4,23,0,0
Psychiatric,Flexible Scheduling,Hearing,$1–$500,Mid-size (50–499),Healthcare,4.8,11,0,1
Chronic Illness,Assistive Technology,Vision,$0 (No Cost),Small (<50),Finance/Insurance,1.0,6,2,1
Cognitive,Physical Modification,Stamina/Endurance,$1–$500,Mid-size (50–499),Education,7.2,7,1,0
Chronic Illness,Physical Modification,Stamina/Endurance,$1–$500,Mid-size (50–499),Manufacturing,4.0,26,0,1
Sensory (Vision/Hearing),Leave of Absence,Hearing,$1–$500,Small (<50),Healthcare,2.2,53,0,0
Chronic Illness,Leave of Absence,Mobility,$0 (No Cost),Large (500+),Healthcare,4.1,32,0,1
Psychiatric,Physical Modification,Concentration/Focus,$1–$500,Mid-size (50–499),Manufacturing,4.2,6,0,0
Psychiatric,Flexible Scheduling,Stamina/Endurance,$0 (No Cost),Mid-size (50–499),Education,0.5,26,1,1
Psychiatric,Assistive Technology,Mobility,$0 (No Cost),Mid-size (50–499),Education,11.8,64,3,1
Neurological,Physical Modification,Mobility,$1–$500,Mid-size (50–499),Education,3.7,19,1,0
Sensory (Vision/Hearing),Remote Work / Telework,Concentration/Focus,$1–$500,Large (500+),Education,3.2,32,1,1
Sensory (Vision/Hearing),Flexible Scheduling,Stamina/Endurance,$0 (No Cost),Mid-size (50–499),Manufacturing,1.2,20,1,1
Chronic Illness,Remote Work / Telework,Mobility,"$501–$2,000",Mid-size (50–499),Healthcare,3.7,37,1,1
Psychiatric,Assistive Technology,Concentration/Focus,$0 (No Cost),Large (500+),Education,0.9,13,0,1
Sensory (Vision/Hearing),Remote Work / Telework,Concentration/Focus,$1–$500,Large (500+),Finance/Insurance,2.5,1,1,1
Psychiatric,Flexible Scheduling,Mobility,"$2,001+",Large (500+),Retail/Hospitality,4.4,9,2,1
Musculoskeletal,Leave of Absence,Vision,$1–$500,Small (<50),Manufacturing,9.0,17,3,0
Sensory (Vision/Hearing),Policy Change / Exemption,Mobility,"$501–$2,000",Small (<50),Education,0.5,24,1,1
Cognitive,Flexible Scheduling,Stamina/Endurance,$1–$500,Large (500+),Technology,1.7,18,0,1
Neurological,Policy Change / Exemption,Dexterity,$1–$500,Mid-size (50–499),Retail/Hospitality,0.9,18,0,1
Psychiatric,Flexible Scheduling,Mobility,$1–$500,Large (500+),Education,13.6,53,0,1
Neurological,Policy Change / Exemption,Vision,$1–$500,Large (500+),Technology,1.4,10,1,1
Psychiatric,Ergonomic Equipment,Dexterity,$0 (No Cost),Small (<50),Finance/Insurance,1.8,26,1,0
Chronic Illness,Flexible Scheduling,Stamina/Endurance,$1–$500,Small (<50),Manufacturing,3.7,6,1,1
Sensory (Vision/Hearing),Leave of Absence,Concentration/Focus,$0 (No Cost),Mid-size (50–499),Government/Public Sector,0.9,43,2,1
Psychiatric,Ergonomic Equipment,Concentration/Focus,"$2,001+",Small (<50),Healthcare,2.8,31,0,1
Psychiatric,Policy Change / Exemption,Hearing,$0 (No Cost),Mid-size (50–499),Government/Public Sector,19.5,96,0,1
Psychiatric,Ergonomic Equipment,Dexterity,$0 (No Cost),Large (500+),Finance/Insurance,0.6,10,1,0
Cognitive,Assistive Technology,Hearing,"$501–$2,000",Mid-size (50–499),Education,0.5,77,0,1
Musculoskeletal,Flexible Scheduling,Vision,$0 (No Cost),Large (500+),Education,0.5,11,0,1
Chronic Illness,Policy Change / Exemption,Concentration/Focus,$0 (No Cost),Mid-size (50–499),Healthcare,4.0,19,0,1
Sensory (Vision/Hearing),Physical Modification,Dexterity,$1–$500,Large (500+),Technology,9.6,7,0,1
Neurological,Physical Modification,Communication,$0 (No Cost),Small (<50),Healthcare,2.7,95,1,0
Psychiatric,Remote Work / Telework,Dexterity,$0 (No Cost),Large (500+),Education,3.5,35,1,1
Cognitive,Assistive Technology,Concentration/Focus,$0 (No Cost),Large (500+),Finance/Insurance,1.8,35,1,1
Musculoskeletal,Flexible Scheduling,Mobility,$0 (No Cost),Small (<50),Finance/Insurance,2.7,12,2,1
Neurological,Leave of Absence,Dexterity,$0 (No Cost),Mid-size (50–499),Healthcare,9.1,2,1,1
Sensory (Vision/Hearing),Flexible Scheduling,Dexterity,$0 (No Cost),Large (500+),Government/Public Sector,3.9,19,0,1
Sensory (Vision/Hearing),Leave of Absence,Stamina/Endurance,$0 (No Cost),Small (<50),Retail/Hospitality,13.4,16,1,0
Cognitive,Policy Change / Exemption,Mobility,$0 (No Cost),Large (500+),Government/Public Sector,6.4,4,0,1
Psychiatric,Assistive Technology,Mobility,$0 (No Cost),Large (500+),Healthcare,6.2,20,3,1
Neurological,Assistive Technology,Hearing,$1–$500,Large (500+),Healthcare,5.9,26,0,1
Musculoskeletal,Remote Work / Telework,Communication,$1–$500,Mid-size (50–499),Manufacturing,6.1,37,2,1
Neurological,Ergonomic Equipment,Communication,$0 (No Cost),Mid-size (50–499),Healthcare,7.9,2,1,1
Psychiatric,Leave of Absence,Stamina/Endurance,$0 (No Cost),Large (500+),Manufacturing,1.5,8,0,1
Psychiatric,Remote Work / Telework,Communication,"$501–$2,000",Mid-size (50–499),Healthcare,2.0,12,2,1
Musculoskeletal,Flexible Scheduling,Stamina/Endurance,$1–$500,Small (<50),Finance/Insurance,6.4,55,1,1
Musculoskeletal,Flexible Scheduling,Communication,$0 (No Cost),Small (<50),Government/Public Sector,11.2,54,1,1
Musculoskeletal,Assistive Technology,Vision,$0 (No Cost),Large (500+),Government/Public Sector,2.4,33,4,1
Neurological,Ergonomic Equipment,Vision,$0 (No Cost),Mid-size (50–499),Technology,1.5,19,1,0
Sensory (Vision/Hearing),Leave of Absence,Hearing,"$501–$2,000",Small (<50),Technology,0.5,57,1,1
Musculoskeletal,Flexible Scheduling,Stamina/Endurance,"$501–$2,000",Mid-size (50–499),Retail/Hospitality,0.5,30,0,1
Musculoskeletal,Policy Change / Exemption,Communication,"$501–$2,000",Large (500+),Retail/Hospitality,3.9,55,0,1
Psychiatric,Remote Work / Telework,Dexterity,$0 (No Cost),Mid-size (50–499),Government/Public Sector,1.2,35,1,1
Neurological,Policy Change / Exemption,Vision,$0 (No Cost),Large (500+),Technology,10.7,4,0,1
Musculoskeletal,Remote Work / Telework,Stamina/Endurance,$0 (No Cost),Large (500+),Technology,0.7,2,0,1
Psychiatric,Physical Modification,Dexterity,$0 (No Cost),Large (500+),Finance/Insurance,2.7,18,4,1
Musculoskeletal,Policy Change / Exemption,Dexterity,$0 (No Cost),Large (500+),Education,6.0,47,0,1
Neurological,Remote Work / Telework,Stamina/Endurance,$1–$500,Small (<50),Technology,1.8,16,0,0
Psychiatric,Physical Modification,Dexterity,$0 (No Cost),Mid-size (50–499),Technology,2.3,65,0,1
Neurological,Ergonomic Equipment,Mobility,"$501–$2,000",Small (<50),Finance/Insurance,17.8,44,0,1
Neurological,Flexible Scheduling,Communication,$0 (No Cost),Large (500+),Government/Public Sector,0.5,61,1,0
Sensory (Vision/Hearing),Flexible Scheduling,Stamina/Endurance,$0 (No Cost),Small (<50),Manufacturing,3.9,18,2,1
Sensory (Vision/Hearing),Physical Modification,Concentration/Focus,"$501–$2,000",Mid-size (50–499),Technology,1.9,10,5,1
Sensory (Vision/Hearing),Remote Work / Telework,Vision,$1–$500,Large (500+),Healthcare,0.8,9,1,1
Musculoskeletal,Flexible Scheduling,Stamina/Endurance,$0 (No Cost),Small (<50),Government/Public Sector,12.4,37,1,1
Chronic Illness,Assistive Technology,Concentration/Focus,$1–$500,Large (500+),Healthcare,4.5,5,0,1
